timestamp_ms,angle_rad,velocity,wheel_vel,pwm,is_valid,user_free
157646.0,-0.2278,-0.0076,-0.0016,-255.0,0,0
157655.0,-0.2278,0.0011,-0.0013,-255.0,0,0
157666.0,-0.2278,0.0033,-0.0011,-255.0,0,0
157676.0,-0.2278,-0.0044,-0.0009,-255.0,0,0
157686.0,-0.2278,-0.0087,-0.0008,-255.0,0,0
157697.0,-0.2278,0.0055,-0.0006,-255.0,0,0
157706.0,-0.2278,-0.0055,-0.0005,-255.0,0,0
157716.0,-0.2278,-0.0044,-0.0004,-255.0,0,0
157726.0,-0.2278,0.0011,-0.0004,-255.0,0,0
157737.0,-0.2278,0.0109,-0.0003,-255.0,0,0
157747.0,-0.2278,-0.0011,-0.0002,-255.0,0,0
157756.0,-0.2278,0.0109,-0.0002,-255.0,0,0
157767.0,-0.2278,0.0098,-0.0002,-255.0,0,0
157777.0,-0.2278,0.0196,-0.0001,-255.0,0,0
157787.0,-0.2278,0.0185,-0.0001,-255.0,0,0
157797.0,-0.2278,0.0273,-0.0001,-255.0,0,0
157806.0,-0.2278,0.0055,-0.0001,-255.0,0,0
157817.0,-0.2278,0.0087,-0.0001,-255.0,0,0
157827.0,-0.2278,-0.0076,-0.0001,-255.0,0,0
157837.0,-0.2278,-0.0076,-0.0,-255.0,0,0
157847.0,-0.2278,-0.0109,-0.0,-255.0,0,0
157856.0,-0.2278,-0.0098,-0.0,-255.0,0,0
157867.0,-0.2278,-0.012,-0.0,-255.0,0,0
157877.0,-0.2278,-0.0044,-0.0,-255.0,0,0
157887.0,-0.2278,0.0065,-0.0,-255.0,0,0
157897.0,-0.2278,0.0131,-0.0,-255.0,0,0
157905.0,-0.2278,0.0011,-0.0,-255.0,0,0
157915.0,-0.2267,0.0349,-0.0,-255.0,0,0
157927.0,-0.2267,0.0229,-0.0,-255.0,0,0
157937.0,-0.2267,0.0175,-0.0,-255.0,0,0
157947.0,-0.2267,0.0033,-0.0,-255.0,0,0
157956.0,-0.2267,-0.012,-0.0,-255.0,0,0
157967.0,-0.2267,-0.0065,-0.0,-255.0,0,0
157977.0,-0.2267,-0.0087,-0.0,-255.0,0,0
157987.0,-0.2267,-0.0164,-0.0,-255.0,0,0
157998.0,-0.2267,-0.0065,-0.0,-255.0,0,0
158007.0,-0.2267,0.024,-0.0,-255.0,0,0
158017.0,-0.2267,0.0065,-0.0,-255.0,0,0
158027.0,-0.2267,-0.0044,-0.0,-255.0,0,0
158037.0,-0.2267,0.0098,-0.0,-255.0,0,0
158048.0,-0.2267,0.0218,-0.0,-255.0,0,0
158055.0,-0.2267,0.0305,-0.0,-255.0,0,0
158065.0,-0.2256,0.036,-0.0,-255.0,0,0
158077.0,-0.2256,0.0382,-0.0,-255.0,0,0
158088.0,-0.2245,0.0327,-0.0,-255.0,0,0
158098.0,-0.2245,0.0404,-0.0,-255.0,0,0
158254.90476190476,-0.2136952380952381,0.03785238095238095,0.0,-240.55714285714285,0,0
158553.7709750567,-0.19311473922902495,0.032999773242630384,0.0,-213.0469387755102,0,0
158959.37512147715,-0.1651840621963071,0.026414091350826042,0.0,-175.71166180758019,1,0
159422.92271738627,-0.13326328844462956,0.018887597760192512,0.0,-133.0427738442316,1,0
159891.9887370562,-0.10096250548162253,0.011271503055384772,0.0,-89.86592292893835,1,0
160320.8490978973,-0.0714303610583018,0.00430821646813198,0.0,-50.389944949241674,1,0
160678.23273193152,-0.04682024070553454,-0.0014945223545786797,0.0,-17.493296632827786,1,0
160950.52502452905,-0.02806967281771186,-0.005915656695691563,0.0,7.570816370154223,1,0
161140.15715687376,-0.015011241610121065,-0.008994660968966608,0.0,25.026180782945268,1,0
161260.5585107434,-0.006720174176730081,-0.010949584317077748,0.0,36.10895183868561,1,0
161329.9326241635,-0.0019429400841571819,-0.012075992531941785,0.0,42.49473897080267,1,0
161365.9711246415,0.0005387399639326359,-0.012661139656546479,0.0,45.81203098748686,1,0
161382.7032855777,0.001690948557688623,-0.012932815107255802,0.0,47.352202280947374,1,0
161389.56776185925,0.002163649519229541,-0.0130442717024186,0.0,47.984067426982456,1,0
161392.0193605312,0.00233247129120844,-0.013084077629262458,0.0,48.20973355056641,1,0
161392.7665144122,0.0023839217360020096,-0.013096208959348205,0.0,48.278507988230096,1,0
161392.9555265547,0.002396937473524192,-0.013099277897018705,0.0,48.2959062834724,1,0
161392.99364665066,0.0023995624962177414,-0.013099896842431244,0.0,48.2994151833532,1,0
161392.9993949191,0.002399958332973118,-0.013099990175469643,0.0,48.299944303176495,1,0
161392.99997118663,0.0023999980158558626,-0.013099999532165221,0.0,48.29999734777031,1,0
161393.0,0.0024,-0.0131,-0.0,48.3,1,0
161403.0,0.0024,-0.0098,-0.0,49.48,1,0
161411.0,0.0024,-0.0164,-0.0,45.84,1,0
161422.0,0.0024,-0.0185,-0.0,44.45,1,0
161433.0,0.0013,-0.0196,-0.0,-46.58,1,0
161443.0,0.0013,-0.0109,-0.0,-42.41,1,0
161453.0,0.0013,-0.0022,-0.0,47.69,1,0
161461.0,0.0013,-0.0087,-0.0,44.3,1,0
161473.0,0.0024,-0.0098,-0.0,48.02,1,0
161483.0,0.0024,0.0076,-0.0,61.91,1,0
161493.0,0.0024,0.012,-0.0,63.33,1,0
161503.0,0.0024,-0.0229,-0.0,-45.85,1,0
161512.0,0.0024,0.0011,-0.0,55.39,1,0
161522.0,0.0024,-0.0207,-0.0,-44.8,1,0
161534.0,0.0024,-0.024,-0.0,-46.21,1,0
161545.0,0.0024,-0.0055,-0.0,51.22,1,0
161554.0,0.0024,-0.0055,-0.0,48.98,1,0
161562.0,0.0013,-0.0295,-0.0,-53.1,1,0
161575.0,0.0013,0.0044,-0.0,49.83,1,0
161585.0,0.0013,-0.0011,-0.0,47.21,1,0
161595.0,0.0013,-0.024,-0.0,-50.04,1,0
161605.0,0.0013,0.0055,-0.0,50.64,1,0
161612.0,0.0013,0.0098,-0.0,52.88,1,0
161622.0,0.0013,-0.0142,-0.0,-44.97,1,0
161635.0,0.0013,0.0185,-0.0,57.32,1,0
161645.0,0.0013,0.0196,-0.0,57.89,1,0
161654.0,0.0013,-0.0207,-0.0,-48.15,1,0
161662.0,0.0013,0.0087,1.1305,53.58,1,0
161675.0,0.0013,0.0044,2.0657,50.27,1,0
161685.0,0.0013,-0.0273,1.7089,-51.59,1,0
161695.0,0.0013,0.0065,1.4137,51.4,1,0
161705.0,0.0013,0.0011,1.1696,48.69,1,0
161712.0,0.0013,-0.0327,0.9675,-58.39,1,0
161723.0,0.0002,-0.0142,0.8004,-48.71,1,0
161735.0,0.0002,-0.0087,0.6622,-46.07,1,0
161745.0,0.0002,-0.0458,0.5478,-64.69,1,0
161755.0,0.0002,-0.0207,0.4532,-52.2,1,0
161762.0,0.0002,0.0044,0.3749,46.22,1,0
161775.0,0.0002,-0.0109,0.3101,-47.38,1,0
161785.0,0.0002,-0.0109,0.2566,-47.4,1,0
